shinchou,taiju,father,mother,tsugaku,arbeit,tv,jugyou,ketsueki,yakyu,shimai,tabako,jitaku,menkyo,car,koibito,seibetsu
178,66,171,160,60,8,30,4,ab,4,1,0,1,1,1,1,1
172,64,170,161,35,12,120,4,o,1,1,0,0,1,0,0,1
178,55,170,155,50,8,60,2,b,1,0,1,1,0,0,0,1
176,68,173,163,35,2,1,5,a,3,1,0,1,1,1,0,1
173,63,171,155,60,0,90,4,b,1,0,0,1,1,1,0,1
150,80,180,170,120,0,540,1,o,12,1,1,0,1,1,1,1
169,55,165,153,110,6,60,4,a,4,1,0,1,1,0,0,1
169,59,167,156,90,8,90,5,b,4,1,0,1,1,1,1,1
170,60,162,152,7,10,240,3,b,11,0,1,0,0,0,0,1
177,60,165,160,30,2,30,4,a,4,1,0,1,1,1,1,1
175,72,171,162,50,0,360,5,b,13,1,0,0,1,0,0,1
164,54,168,157,15,5,2,4,a,5,0,0,0,1,0,0,1
173,72,172,160,50,8,120,2,o,13,0,0,0,0,0,0,1
170,55,170,153,80,5,15,3,a,8,0,0,1,1,1,1,1
173,61,173,161,90,0,60,4,o,5,0,0,1,1,1,0,1
167,61,163,153,85,9,90,4,b,13,1,0,1,1,1,0,1
181,58,170,155,50,120,120,3,b,6,0,1,1,1,1,1,1
174,53,174,157,50,2,60,4,a,1,1,1,0,0,0,0,1
173,65,172,163,15,0,90,2,o,5,1,0,0,0,0,0,1
163,55,163,155,20,6,180,3,o,9,1,0,0,0,0,1,1
162,58,172,152,120,3,60,5,ab,4,0,0,1,1,1,0,1
157,54,156,149,90,0,60,4,a,2,1,0,1,1,1,0,1
169,65,159,148,50,6,20,4,o,1,0,0,1,0,0,0,1
170,60,170,155,50,5,60,5,o,12,1,0,1,1,1,1,1
165,64,165,150,80,14,2,3,a,3,1,0,0,1,1,0,1
191,72,176,154,45,3,60,4,a,4,0,1,1,1,1,0,1
175,62,173,152,80,12,120,4,b,1,0,0,1,1,1,1,1
170,63,166,153,60,10,90,4,a,3,1,0,1,0,1,0,1
